crime,year,rate
theftfrommv,2017,317.4405518
theftfrommv,2018,385.1091003
theftfrommv,2019,433.9702148
theftfrommv,2020,455.1988525
theftfrommv,2021,328.90802
theftfrommv,2022,376.404164
theftfrommv,2023,411.6920471
theftover,2014,31.68969536
theftover,2015,69.71733093
theftover,2016,18.96213913
theftover,2017,80.91622162
theftover,2018,18.33852959
theftover,2019,42.19155121
theftover,2020,59.89458466
theftover,2021,29.90073013
theftover,2022,88.82572174
theftover,2023,99.98235321
assault,2014,1086.689331
assault,2015,1144.153442
assault,2016,1135.80249
assault,2017,1355.039917
assault,2018,1450.876831
assault,2019,1400.759766
assault,2020,1111.741943
assault,2021,1388.428223
assault,2022,1458.480347
assault,2023,2078.779785
autotheft,2014,324.5316467
autotheft,2015,345.2187195
autotheft,2016,251.8518524
autotheft,2017,258.3349609
autotheft,2018,369.9255371
autotheft,2019,441.5954285
autotheft,2020,487.2741089
autotheft,2021,544.946228
autotheft,2022,503.4109497
autotheft,2023,748.7327271
biketheft,2014,24.5857296
biketheft,2015,39.4535675
biketheft,2016,34.56790161
biketheft,2017,4.87424469
biketheft,2018,33.6295929
biketheft,2019,37.98670578
biketheft,2020,52.03898239
biketheft,2021,42.64796448
biketheft,2022,65.10719434
biketheft,2023,55.8061676
breakenter,2014,280.2773132
breakenter,2015,212.0629272
breakenter,2016,118.5185165
breakenter,2017,155.9758301
breakenter,2018,211.3860168
breakenter,2019,379.8670349
breakenter,2020,208.1559296
breakenter,2021,298.5357666
breakenter,2022,235.2387695
breakenter,2023,413.8957214
homicide,2014,0
homicide,2015,0
homicide,2016,4.938271523
homicide,2017,9.74848938
homicide,2018,0
homicide,2019,4.748338223
homicide,2020,0
homicide,2021,0
homicide,2022,9.409550667
homicide,2023,4.650513649
robbery,2014,201.6029968
robbery,2015,192.3361511
robbery,2016,177.777771
robbery,2017,238.8379822
robbery,2018,182.5606537
robbery,2019,194.6818542
robbery,2020,236.5408325
robbery,2021,137.4212189
robbery,2022,183.4862366
robbery,2023,139.5154114
shooting,2014,19.66858482
shooting,2015,19.72678375
shooting,2016,19.75308609
shooting,2017,29.24546623
shooting,2018,33.6295929
shooting,2019,14.24501419
shooting,2020,23.65408325
shooting,2021,42.64796448
shooting,2022,32.9334259
shooting,2023,27.9030838
theftfrommv,2014,368.7859497
theftfrommv,2015,202.1995392
theftfrommv,2016,212.3456726
theftfrommv,2017,302.2031555
theftfrommv,2018,562.0946655
theftfrommv,2019,565.0522461
theftfrommv,2020,747.4689941
theftfrommv,2021,535.4688721
